company_name,category,sub_category,area,address,website,phone,email,source_url,source_type
Hari Krishna Exports Pvt Ltd,Diamond & Bourse,Diamond manufacturer & exporter,Varachha / Ichhapore,"9 Hari Krishna Campus, Near Vraj Chowk, Behind Sarthana Jakatnaka, Varachha Road, Surat; also Plot D-02 Gujarat Hira Bourse, Ichhapore 394510",https://www.hk.co/,,,https://www.hkimpex.com/contact/,Company site + search snippet
Shree Ramkrishna Exports (SRK),Diamond & Bourse,Diamond cutting/polishing & jewellery exporter,Katargam,"99 SRK Empire, Vastadevdi Road, Katargam, Surat 395004",https://srk.one/,+91 261 4040 555,hitesh.gi@srk.me,https://srk.one/contact.html,Company site + search snippet
Indian Institute of Information Technology Surat (IIIT Surat),Education,University (IIIT/Engineering),"Kholvad, Kamrej (temp: SVNIT Campus, Ichchhanath)","IIIT Surat, SVNIT Campus, Ichchhanath, Surat-395007",iiitsurat.ac.in,02621-298060,office@iiitsurat.ac.in,https://www.iiitsurat.ac.in/,Official site + Wikipedia
Ami Organics Ltd (Acutaas Chemicals Ltd),GIDC Manufacturing,Specialty Chemicals / Pharma Intermediates,GIDC Sachin,"Plot No 440/4,5,6,8206-B,478,479 & 494, Road No 82/A & 82/C, GIDC, Sachin, Surat",https://www.amiorganics.com/,,,https://www.amiorganics.com/,Company website
KRIBHCO (Krishak Bharati Cooperative Ltd) Hazira,GIDC Manufacturing,Fertilizer / Process Plant,Hazira,"Hazira Fertilizer Complex, P.O. KRIBHCO Nagar, Surat 394515, Gujarat",https://www.kribhco.net/,0261-2862766,chandrasekharan@kribhcosurat.com,https://www.kribhco.net/contact.html,Company website
SIDS Multi Super Speciality Hospital & Research Centre,Healthcare,Multi super-speciality hospital,Ring Road / Majura Gate,"Off Ring Road, Near Shell Petrol Pump, Sosyo Circle Lane, Surat 395002",https://www.sidshospital.com/,+91 261 280 0000,sids.adm@gmail.com,https://theprint.in/ani-press-releases/sids-hospital-in-surat-transforms-into-a-multi-super-speciality-healthcare-hub-expanding-services-and-relocating-to-a-state-of-the-art-facility/1784475/,News / press release
Kalamandir Jewellers Limited,Jewellery,Large retailer/showroom chain,Athwa (Ghod Dod Road),"Plot No-124, Ghod Dod Rd, near Indoor Stadium Lane, Athwa, Surat, Gujarat 395007",https://kalamandirjewellers.com/,+91 261 229 5000,,https://www.helloindia.co/Surat/Kalamandir-Jewellers-Ltd/Surat-Ho/ContactUs,directory
DMart (Avenue Supermarts) - Surat,Retail & Supermarket,Supermarket/Hypermarket chain,"Multiple (Adajan, Singanpor, Pandesara, Nana Varachha, Rander, Vesu)",Multiple stores incl. Kalpana Chawla Marg Adajan Gam 395009; Pandesara Udhna 394221; Vesu,https://www.avenuesupermarts.com,,,https://scanx.trade/stock-market-news/stocks/dmart-expands-retail-network-with-new-store-opening-in-surat-gujarat/27264522,News + JustDial/magicpin listings
Kataria Automobiles (Maruti Suzuki Arena & Nexa),Automobile Dealership,Car dealer (Maruti Arena/Nexa),Piplod,"Kataria Arcade, Opp. Rajhans Multiplex, Dumas Road 395007, Piplod, Surat",https://maruti.kataria.co.in/,7572900000,contactus@kataria.co.in,https://www.nexaofpiplodroad.com/contact-us,Brand dealer site
Dharmanandan Diamonds Pvt Ltd,Diamond & Bourse,Polished diamond manufacturer,Katargam (Gotalawadi),"Behind Patel Faliya, Gotalawadi, Katargam, Surat 395004",https://www.ddpl.com/,,,https://www.indiamart.com/dharmanandan-diamond/aboutus.html,IndiaMART profile + search snippet
Veer Narmad South Gujarat University (VNSGU),Education,University (State),Udhna-Magdalla Road,"Post Box No. 49, Udhna Magdalla Road, Surat-395007",vnsgu.ac.in,0261-2227141,info@vnsgu.ac.in,https://surat.nic.in/public-utility/veer-narmad-south-gujarat-university/,Govt directory + official site
Jainam Broking Limited,Finance & Professional,Stock / commodity broker,Piplod,"Jainam House, Plot No.42, Near Shardayatan School, Piplod, Surat-395007",https://www.jainam.in/,0261 6725555,,https://www.jainam.in/contact-us/,Company site
Adani Wilmar Ltd (AWL Agri Business) Hazira,GIDC Manufacturing,Food / Edible Oil Processing,Hazira,"Hazira, Surat (near Hazira sea port), Gujarat",https://www.adaniwilmar.com/,,,https://www.adaniwilmar.com/en/factory-locator,Company website
ONGC Hazira Plant,Government & PSU,PSU / Oil & Gas,"Hazira, Surat","Hazira Plant, PO ONGC Nagar, Surat-394518",https://ongcindia.com/,0261-2875600,,https://ongcindia.com/web/eng/about-ongc/contact-us/our-offices/,Official PSU site
Malabar Gold & Diamonds - Ghod Dod Road,Jewellery,Branded retailer/showroom,Ghod Dod Road (Athwa),"Picnic Retail, Opp. Amarakunj Society, Rangila Park Char Rasta, Ghod Dod Road, Surat 395007",https://www.malabargoldanddiamonds.com/,0261 2992916,,https://o2osell.com/shops/malabar-gold-and-surat,directory
Tanishq (Titan) - Ghod Dod Road,Jewellery,Branded retailer/showroom,Ghod Dod Road,"F.P. No. 42/A & B-Topp, Ghod Dod Rd, opp. St. Xaviers School, Surat 395001",https://stores.tanishq.co.in/,0261-2650069,,https://www.helloindia.co/Surat/Tanishq-Showroom/Ghod-Dod-Road/ContactUs,directory
Bhanderi Lab Grown Diamonds LLP,Lab-Grown Diamond,CVD diamond manufacturer / exporter,Katargam,4th Floor BLGD Corporation Akshar Building Opp Mehta Petrol Pump Katargam Surat 395004,https://blgdlab.com/,+91 85003 85003,info@blgdlab.com,https://blgdlab.com/contact-bhanderi-diamonds,Company website
Reliance SMART / SMART Bazaar - Surat,Retail & Supermarket,Supermarket/Hypermarket chain,"Multiple (Vesu, Piplod, Udhna, Katargam, Magdalla, Anand Mahal Rd, Varachha)",Anand Mahal Building Beside Gail Tower Anand Mahal Main Rd; Kamdhenu Mall Dumas Rd Piplod,https://stores.reliancesmartbazaar.com,18008910001,,https://stores.reliancesmartbazaar.com/location/gujarat/surat,Official store locator
Raghuvir Scarlet Textile Market,Textile Trade & Design,Textile market complex,Ring Road area,"Raghuvir Scarlet Textile Market, Surat",https://www.raghuvirdevelopers.com/,,,https://english.loktej.com/article/19352/raghuvir-scarlet-textile-market-sets-a-new-benchmark-in-surat%E2%80%99s,News article
Laxmi Diamond Pvt Ltd,Diamond & Bourse,Polished diamond manufacturer,Katargam,"Bhagu Bhula Compound, Nr Gajera Circle, Katargam Fulpada Road, Katargam, Surat 395004",https://laxmidiamond.com/,,,https://www.justdial.com/Surat/Laxmi-Diamond-Pvt-Ltd-Near-Gajera-Circle-CNG-Gas-Station-Katargam/0261PX261-X261-140228143117-M4M9_BZDET,JustDial + search snippet
Nanavati Mahindra (Nanavati Automotive),Automobile Dealership,Car dealer (Mahindra),Adajan,"Survey No. 84/1, 84/2 Paiki, Bhagat Party Plot, Opp Hari Om Petrol Pump, L P Savani Road, Adajan, Surat 395005",https://www.nanavatimahindra.com/,,,https://www.nanavatimahindra.com/outlet/mahindra-showroom-in-surat.html,Brand dealer site
Lakhi Group (Dilipkumar V. Lakhi),Diamond & Bourse,Diamond cutting & polishing manufacturer,Surat,"Surat (one of world's largest polishing factories); HQ Bandra East, Mumbai",https://www.jewelxy.com/803221970923286,,,https://www.jewelxy.com/803221970923286,Jewelxy profile + search snippet
Sunshine Global Hospital,Healthcare,Multispecialty hospital (NABH),Piplod,"Beside Smart Bazar, Dumas-Piplod Road, Surat 395007",https://www.sunshineglobalhospitals.com/,02614111000,,https://www.sunshineglobalhospitals.com/location/surat,Hospital website
Kalyan Jewellers - Adajan,Jewellery,Branded retailer/showroom,Adajan,"No-G9, G10, 109, 110, Universal Trade Centre, LP Savani Road, Opp. Indian Oil Pump, Adajan, Surat 395009",https://store.kalyanjewellers.net/,,,https://store.kalyanjewellers.net/kalyan-jewellers-store-adajan-surat/sur/gold-rate,company_website
Surat Diamond Bourse (SDB),Diamond & Bourse,Diamond trade centre / multi-tenant bourse,Khajod (DREAM City),"J-002, Plot 177/P, DREAM City, Nr Khajod Chowkdi NH53, Khajod, Surat 395007",https://www.suratdiamondbourse.in/,+91 261 691 7000,info@sdbbourse.com,https://www.suratdiamondbourse.in/contact-us/,Official site + Wikipedia
The Surat District Co-operative Bank Ltd,Finance & Professional,Co-operative bank,Surat,,https://www.sudico.bank.in/,,,https://www.sudico.bank.in/,Company site
Colourtex Industries Pvt Ltd,GIDC Manufacturing,Dyes & Dye Intermediates,Pandesara,"Plot No 158/3 Survey No 80, G.I.D.C. Pandesara, Surat 394221",https://colourtex.co.in/,,,https://colourtex.co.in/about-us/,Company website
Surat City Police Commissionerate,Government & PSU,Police / Law Enforcement,Surat,"Commissioner of Police Office, Surat",https://cpsurat.gujarat.gov.in/,0261-2244440,cp-sur@gujarat.gov.in,https://cpsurat.gujarat.gov.in/cpsurat/CMS.aspx?content_id=5497,Official .gov.in
Bharat Cancer Hospital & Research Institute,Healthcare,Cancer multispecialty hospital,Saroli,"Manavdaya Trust Sankul, Surat-Bardoli Road, Saroli, Surat 395010",https://bharatcancerhospital.com/,0261-6677109,bharatcancerhospital@gmail.com,https://bharatcancerhospital.com/contcat.php,Hospital website
Rajhans (Desai-Jain) Group / Rajhans Realty,Hospitality & Real Estate,Real estate developer / Builder,Surat,Surat,https://rajhansrealty.com/,,,https://rajhansrealty.com/blog/2025s-best-builders-in-surat-whos-leading-the-real-estate-game/,Builder official site
Reliance Jewels - Adajan,Jewellery,Branded retailer/showroom,Adajan,"Unit No 3, GF, Universal Trade Center, LP Savani Road, Adajan, Surat, Gujarat",https://stores.reliancejewels.com/,,,https://stores.reliancejewels.com/reliance-jewels-jewelry-store-adajan-surat-343351/Home,company_website
ABD Diamonds Pvt Ltd,Lab-Grown Diamond,CVD & HPHT diamond manufacturer / exporter,Surat (+ Ahmedabad),"Manufacturing hubs in Surat and Ahmedabad, Gujarat",https://abddiamonds.com/,+91 70165 80812,info@abddiamonds.com,https://abddiamonds.com/contact/,Company website
Kira Jewels Inc (Kira group jewelry arm),Lab-Grown Diamond,LGD jewelry manufacturer,Khajod (Surat Diamond Bourse),Surat Diamond Bourse Khajod Surat 395007 (shared with Kira Diam),https://kiradiam.com/,+91 261 691 4500,infosurat@kiradiam.com,https://kiradiam.com/about-us/,Company website
Apollo Pharmacy - Surat,Retail & Supermarket,Pharmacy / medical-store chain,"Multiple (Althan, City Light, Adajan, Green City, Rander Rd, Bhimrad, Palanpur Gam)",Shop 5 VIP Galleria Althan High St Canal Rd; Mann Complex Anand Mahal Rd Adajan; etc.,https://www.apollopharmacy.in,,,https://www.apollopharmacy.in/medical-stores/apollo-pharmacy-apollo_pharmacy_althan-surat-11530,Official store locator
Millennium Textile Market,Textile Trade & Design,Textile market complex,Ring Road / Sahara Darwaja,"Mithi Khadi Road, Near Ring Road, New Textile Market, Surat, Gujarat 395002",,,,https://surattextilemarkets.com/millennium-textile-market/,Market directory
Mahim Architect,Architecture & CAD/Engineering,AEC / Architecture-Engineering-Construction,Ghod Dod Road,"A 1002, 1st Floor, Turning Point Complex, Ghod Dod Road, near Jamna Nagar BRTS, near Fire Station, Surat 395007",https://mahimarchitect.com/,,,https://www.indiamart.com/mahim-architect/aboutus.html,IndiaMART profile
Nanavati Toyota,Automobile Dealership,Car dealer (Toyota),Bhatpore (Magdalla-Hazira),"220+328, GIDC Magdalla Hazira Road, GIDC Bhatpore, Opp ONGC, Surat 394510",https://www.nanavatitoyota.com/,,,https://www.nanavatitoyota.com/,Brand dealer site
"Shreeji Automart (Tata Motors, Piplod)",Automobile Dealership,Car dealer (Tata Motors),Piplod,"No 04A/B, Shreeji House, Dumas Road, Opp Big Bazar, Piplod, Surat",https://dealer-locator.cars.tatamotors.com/,,,https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-shreeji-automart-piplod-car-dealer-piplod-surat-77053/Home,Brand dealer site
Sanghavi Exports International / Sanghavi Diamond Mfg Pvt Ltd,Diamond & Bourse,Diamond manufacturer & exporter,Ved Road (Turki),"Survey No 14, Village Turki, Opp Darpan Nagar, Ved Road, Surat",https://sanghvisons.com/,,,https://www.zaubacorp.com/company/SANGHVI-DIAMONDS-MANUFACTURING-PRIVATELIMITED/U36911GJ1995PTC027680,ZaubaCorp + search snippet
Venus Jewel,Diamond & Bourse,Polished natural diamond manufacturer,Sumul Dairy Road,"The Venus Estate, Near Shantiniketan Society, Sumul Dairy Road, Surat 395003",https://www.venusjewel.com/,+91 261 253 1444,vj.surat@venusjewel.com,https://www.venusjewel.com/stpg/Best-Diamond-Manufacturing-Unit.html,Company site + search snippet
Uka Tarsadia University (UTU),Education,University (Private),Bardoli/Mahuva (South Gujarat),"Maliba Campus, Gopal Vidyanagar, Bardoli-Mahuva Road, Tarsadi-394350, Surat",utu.ac.in,02625-290020,ceo@utu.ac.in,https://surat.nic.in/public-utility/uka-tarsadia-university/,Govt directory + official site
R Wadiwala Securities Private Limited,Finance & Professional,Stock / commodity broker,Limda Chowk,"9/2003-4, Vishnu Priya, Main Road, Limda Chowk, Surat-395003",https://www.rwsec.com/,08401974767,,https://www.rwsec.com/,Company site
SuperScan Diagnostic Centre,Healthcare,Diagnostic / imaging centre (radiology),Surat,Surat (advanced CT/MRI imaging centre),https://www.superscan.in/,,,https://www.superscan.in/,Diagnostic centre website
Park Inn by Radisson Surat,Hospitality & Real Estate,Hotel (4-star),City Centre / near Tapi River,Surat (within 7 km of Surat International Airport),https://www.radissonhotels.com/en-us/hotels/park-inn-surat,,,https://www.radissonhotels.com/en-us/corporate/media/press-releases/opening-park-inn-by-radisson-surat,Press release
Sangini Group,Hospitality & Real Estate,Real estate developer / Builder,Surat,Surat,https://www.sanginigroup.com/,,,https://www.sanginigroup.com/,Builder official site
Charu Jewels,Jewellery,Manufacturer/wholesaler + retail,Ichchhapor (Gem & Jewellery Park),"U15C, GHB Gem & Jewellery Park, Ichchhapor, Surat 394510",https://charujewels.com/,+91 82386 90000,mail@charujewels.com,https://charujewels.in/contact-us/,company_website
Diyam Impex,Lab-Grown Diamond,CVD & HPHT diamond manufacturer / distributor,Gitanjali,102 Maitri Buildings nr Jeevandhara Hotel Gitanjali Surat Gujarat,https://www.diyamimpex.com/,+91 98251 07116,diyamimpex@gmail.com,https://www.diyamimpex.com/,Company website
Dhiraj Sons The Mega Store,Retail & Supermarket,Departmental store / Supermarket chain (local),"Multiple (Athwalines, Althan, Surat Ho/Canal Rd, Vadod Gam, Sachin, Nanpura)",Near Chowpati Athwa Gate Athwalines 395001; Sai Vittorio opp Atlanta Shopping Centre Althan 395007,https://dhirajsons.com,,,https://dhirajsons.com/,Company website + JustDial
Tanishq (Titan) - Surat,Retail & Supermarket,Jewellery retail chain,"Adajan, Ghoddod Rd, Varachha Rd",Pyramid Square Near LP Savani Circle 120 Feet Rd Adajan 395009; Opp St Xaviers School Ghoddod Rd 395007,https://stores.tanishq.co.in,,,https://stores.tanishq.co.in/store-locator/jewellery-stores/city/Surat,Official store locator
Loyal Textiles,Textile Manufacturing,Weaving (airjet),Surat,"Weaving unit, Surat (Toyota/Picanol/Somet airjet looms)",https://loyaltextiles.com/weaving/,,,https://loyaltextiles.com/weaving/,Company website
Kohinoor Textile Market,Textile Trade & Design,Textile market complex,Ring Road / New Textile Market,"Kohinoor Textile Market, New Textile Market, Ring Road, Surat 395003",,,,https://surattextilemarkets.com/kohinoor-textile-market/,Market directory
XYXX Apparels,BPO/Logistics/Print,E-commerce/D2C,"Dumas Road / Kadodara Road, Surat","510 Rajhans Montessa, Dumas Road, beside Le Meridien, Surat; 402-413 Sangini B Textile Hub, Surat-Kadodara Road, Surat - 395010",https://xyxxcrew.com/,,,https://www.dnb.com/business-directory/company-profiles.xyxx_apparels_private_limited.3e83b4da92e5d849417f6bf6ee435b3b.html,Dun & Bradstreet
Bhagwan Mahavir University (BMU),Education,University (Private),Vesu,"Sr. No. 149, VIP Road, Bharthana Road, Vesu, Surat-395007",bmusurat.ac.in,0261-6770102,info@bmusurat.ac.in,https://surat.nic.in/public-utility/uka-tarsadia-university/,CollegeBatch + official site
The Varachha Co-operative Bank Ltd,Finance & Professional,Co-operative bank,L H Road,"AFFIL TOWER, L.H. Road, Surat-395006",https://www.varachhabank.com/,0261-4008000,,https://varachhabank.com/branch/,Company site
Synergy Imaging,Healthcare,Diagnostic / imaging centre (radiology),Ring Road,"UG 1-2 Jeevandeep Complex, Opp J.K. Tower, Near Nirmal Hospital, Ring Road, Surat 395002",https://synergyimaging.co.in/,,,https://synergyimaging.co.in/,Diagnostic centre website
DhiWise (DhiWise Private Limited / Rocket),IT & Software,SaaS product (design-to-code / AI dev tools),"Lal Darwaja (Station Road), Surat","9th Floor, Office 901-906 & 919-924, Infinity Tower, Lal Darwaja Station Road, Surat 395003",https://www.dhiwise.com/,,help@dhiwise.com,https://www.dhiwise.com/contact-us,Company website (contact page) + Tracxn
Anjali Diamonds Pvt Ltd,Lab-Grown Diamond,CVD diamond grower / manufacturer,Surat,3rd Floor Plot No 211-211 Paiky Surat 395006,,+91 261 255 4151,sales2@anjalidiamonds.com,https://www.exportersindia.com/anjali-diamonds-surat/,ExportersIndia listing
ADDA Architects & Urban Designers,Architecture & CAD/Engineering,Architecture firm,Vesu,"1001, Western Vesu Point, Opp. S.N.S Square, University Road, Vesu Cross Road, Surat, Gujarat 395007",https://www.addaarchitects.in/,91062 38875,studio@addaarchitects.in,https://www.addaarchitects.in/contacts,Company website
DesignCore Studio,Architecture & CAD/Engineering,Architecture / Interior / Landscape,Piplod,"310/311 Union Heights, Maharana Pratap Marg, RahulRaj Mall Lane, Piplod, Surat, Gujarat 395007",https://www.designcorestudio.co.in/,0261 246 2829,info@designcore.co.in,https://www.designcorestudio.co.in/contact,Company website
Amar Cars (Maruti Suzuki Arena/Nexa),Automobile Dealership,Car dealer (Maruti Arena/Nexa),Kapodra,"Amar Cars Arena Kapodara, Navjeevan Compound, Opp Jalaram Furniture, Kapodra, Surat",https://amarcars.com/,9925246251,,https://www.arenaofkapodara.com/,Brand dealer site
Shreenath Kia,Automobile Dealership,Car dealer (Kia),Adajan/Pal Gam,"Plot No 2, Sanskruti Township, Hazira Road, Adajan, Near RTO, Pal Gam, Surat",https://shreenath-kia.in/,9081924777,,https://kiaindia-dealers.com/kia-car-showroom-shreenath-kia-adajan-car-dealer-pal-gam-surat-334946/Home,Brand dealer site
French Crown,BPO/Logistics/Print,E-commerce/D2C,"Saroli / Mota Varachha, Surat","3001 AB/3002 AB, RRTM Phase 2 (Canal Road), Opp Orbit 2, Saroli, Surat - 395010; Corp office 428 Green Plaza, Y Golden Chowk, Mota Varachha, Surat - 394101",https://frenchcrown.in/,,,https://frenchcrown.in/pages/about-us,Company website
Asian Star Co Ltd,Diamond & Bourse,Diamond manufacturer & exporter,A.K. Road,"F.P. 138/151, Plot 01, Purushottam Ginning Mill Compound, A.K. Road, Surat 395008",https://www.asianstargroup.com/,,,https://www.asianstargroup.com/diamond-manufacturing/,Company site + search snippet
B. Virani & Co.,Diamond & Bourse,Diamond cutting & polishing manufacturer,Varachha,"B 7 8 9 10 Diamond Estate, Near Baroda Prestige, Varachha Road, Varachha, Surat 395006",http://www.bvirani.com/,,,https://www.naturaldiamonds.com/in/inside-the-world-of-diamonds/surat-the-heart-of-natural-diamnond-cutting-polishing-industry/,Industry article + company site
KP Sanghvi & Sons LLP,Diamond & Bourse,Diamond & jewellery manufacturer,Tadwadi / Ichhapore,"Near Unia Mata Mandir, Tadwadi, Surat 395001; also Ichhapore unit",https://kpsanghvi.com/,,,https://kpsanghvi.com/about-us/,Company site + search snippet
Sheetal Manufacturing Company Pvt Ltd,Diamond & Bourse,Diamond manufacturer & exporter,A.K. Road,"Office 701, Plot 13, A-Wing, Sheetal Avenue, Nr Bhavani Circle, A.K. Road, Surat 395008",https://www.sheetal.co/,,,https://www.justdial.com/Surat/Sheetal-Manufacturing-Company-Near-Bhavani-Circle-A-K-Road/0261PX261-X261-140731163342-G5U6_BZDET,JustDial + search snippet
Delhi Public School (DPS) Surat,Education,School (CBSE),Dumas Road / Vesu / Tapi (multi-campus),"Near Airport, Surat-Dumas Road, Post Gavier, Surat-394550",dpssurat.net,0261-2204500,principal@dpstapi.net,https://www.dpssurat.net/,Official site
P. P. Savani University,Education,University (Private),"Kosamba, Dhamdod (South Gujarat)","NH48, GETCO, Dhamdod, Kosamba, Surat-394125",ppsu.ac.in,+91-9909962111,info@ppsuni.ac.in,https://surat.nic.in/public-utility/p-p-savani-university/,Govt directory + official site
Sarvajanik College of Engineering & Technology (SCET),Education,Engineering College,Athwalines,"Dr. R.K. Desai Marg, Opp. Mission Hospital, Athwalines, Surat-395001",scet.ac.in,0261-2240146,,https://scet.ac.in/,Official site
The Surat Mercantile Co-operative Bank Ltd,Finance & Professional,Co-operative bank,Lal Darwaja,"""Utkarsh"" 7/359-360, Modi Compound, Lal Darwaja Main Road, Surat-395003",https://www.sumcobank.com/,0261 2532933,,https://www.sumcobank.com/branch/,Company site
The Surat People's Co-operative Bank Ltd,Finance & Professional,Co-operative bank,Nanpura,"Vasudhara Bhavan, Timaliawad, Nanpura, Surat-395001",https://www.spcbl.in/,0261-2464623,customercare@spcbl.in,https://www.spcbl.in/branch/,Company site
Gujarat State Energy Generation Ltd (GSEG) Hazira,GIDC Manufacturing,Power / Process Plant,Hazira,"Hazira, Surat, Gujarat",https://gseg.in/,,,"https://en.wikipedia.org/wiki/GSEG_Combined_Cycle_Power_plant,_Hazira",Wikipedia
ArcelorMittal Nippon Steel India (AM/NS) - Hazira,Government & PSU,Large Industrial (public-facing),"Hazira, Surat","AMNS House, AMNS Township, 27th KM Surat-Hazira Road, Hazira, Surat-394270",https://www.amns.in/,,,https://www.amns.in/,Official company site
Dakshin Gujarat Vij Company Ltd (DGVCL),Government & PSU,PSU / Power Distribution,"Kapodara, Surat","Urja Sadan, Nana Varachha Road, Kapodara, Surat-395006",https://dgvcl.com/,(0261) 2804209,cs.dgvcl@gebmail.com,https://dgvcl.com/contact.php,Official site
GAIL (India) Ltd - Hazira Compressor Station,Government & PSU,PSU / Oil & Gas,"Hazira, Surat","Ichchhapur Magdalla Road, Hazira Compressor Station, Hazira, Surat-394270",https://www.gailonline.com/,261-2840034,RD00441@gail.co.in,https://www.gailonline.com/Hazira.html,Official PSU site
Shalby Multi-Speciality Hospital,Healthcare,Multispecialty hospital,Adajan,"Nr Navyug College, Rander Road, Adajan, Surat 395009",https://www.shalby.org/hospitals/surat-shalby/,,,https://www.shalby.org/hospitals/surat-shalby/,Hospital website
Tristar Hospital,Healthcare,Multispecialty hospital,Nanpura / Athwa Gate,"Nanpura New Rd, opp T & TV High School, Athwa Gate, Surat 395001",https://tristarhospitals.com/,02612200000,,https://tristarhospitals.com/,Hospital website
Surat Marriott Hotel,Hospitality & Real Estate,Hotel (5-star),Athwa / City Light,"City Light Road, Surat",https://www.marriott.com/en-us/hotels/stvmc-surat-marriott-hotel/overview/,,,https://www.marriott.com/en-us/hotels/stvmc-surat-marriott-hotel/overview/,Hotel official site
