company_name|category|sub_category|area|address|website|phone|email|source_url|source_type|size_hint|hardware_need|buying_trigger|expansion_signal|lead_score|priority_tier|contact_approach|verification_status|notes
Harshraj Club & Resort|Hospitality & Real Estate|Resort / Club|Kamrej / Navi Pardi|Near At-Po Navi Pardi, Kamrej, Surat|https://www.agoda.com/en-in/harshraj-club-and-resort/hotel/surat-in.html|||https://www.justdial.com/Surat/Harshraj-Club-Resort-Near-At-Po-Navi-Pardi-Kamrej/0261PX261-X261-170728202011-F3H5_BZDET|JustDial listing|Resort + club with banquet/garden|Front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; banquet AV; AMC|Club/resort with events + playground|Wedding/MICE venue|68|B|Owner / Admin|Existence-verified (contact pending)|Resort with fitness centre, garden, restaurant; event business
Greenland Resort|Hospitality & Real Estate|Resort|Palsana|Next to Sanskar Vidhya Sankul, Palsana-Baleshwar Rd, Palsana, Surat|https://weddingz.in/surat/greenland-resort-palsana/|||https://weddingz.in/surat/greenland-resort-palsana/|Wedding venue portal|Resort with wedding lawns/halls|Front-desk PCs; guest Wi-Fi + networking; CCTV; banquet AV; AMC|Wedding/events resort|Event-season demand|62|B|Owner / Admin|Existence-verified (contact pending)|Allows mandap/hawan; events-driven venue
The Country Club Surat|Hospitality & Real Estate|Club / Banquet venue|Adajan|623-624, Mahadevbhai Desai Road, Next to Pramukh Swami Hospital, Adajan, Surat|https://www.countryclubmail.com/|||https://www.venuelook.com/surat/resorts|Venue portal|Club + banquet halls|Front-desk PCs; guest Wi-Fi + networking; CCTV; banquet AV; AMC|Club with event halls + lawns|Membership/events venue|62|B|Admin / Owner|Existence-verified (contact pending)|Family/celebration venue in Adajan
Chaitanya Vatika|Hospitality & Real Estate|Banquet venue / Party plot|Surat|Surat|https://www.venuelook.com/surat/banquet-halls|||https://www.venuelook.com/surat/banquet-halls|Venue portal|Celebration halls + guest rooms + lawns|Reception PCs; Wi-Fi + networking; CCTV; banquet AV; AMC|Managed celebration property|Group-booking event venue|60|B|Owner / Admin|Existence-verified (contact pending)|Halls, guest rooms and party lawns in single premise
Sarsana Convention Centre|Hospitality & Real Estate|Convention center|Udhna|Sarsana, Udhna, Surat|https://www.venuelook.com/conference-hall-venues-in-surat|||https://www.venuelook.com/conference-hall-venues-in-surat|Venue portal|Large convention centre (800-1200 pax)|Box-office/registration PCs; high-density Wi-Fi + networking; CCTV; event AV; AMC|Major exhibition/convention venue|Large-event infrastructure|74|B|Admin / Event Manager|Existence-verified (contact pending)|Hosts large exhibitions; high-density networking and surveillance needs
VR Surat (Mall)|Hospitality & Real Estate|Shopping mall / Multiplex|New Magdalla / Dumas Road|Dumas Road, New Magdalla, Surat 395007|https://www.virtuous.in/|||https://www.mappls.com/place-vr+mall+dumas+road-new+magdalla-surat-gujarat-395007+surat-4FAC3B|Map directory|Very large mall (615,000 sq ft), 100+ brands, multiplex|Mall management PCs/servers; visitor Wi-Fi + networking; large-scale CCTV/access control; AMC|Largest mall in Surat with arcade/bowling|High footfall surveillance|82|A|Admin / Mall IT Manager|Existence-verified (contact pending)|615k sq ft, multiplex + arcade; major CCTV/networking estate
Rahul Raj Mall|Hospitality & Real Estate|Shopping mall / Multiplex|Dumas Road / Athwalines|Opp. Govardhan Haveli, Gaurav Path, Dumas Road, Surat 395007|https://gujarat.mallsmarket.com/malls/rahulraj-mall-surat|||https://www.mapsofindia.com/whitepages/businesses/index/rahul-raj-mall-surat-guj|Business directory|Large mall, PVR multiplex, Apple Store|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Premium mall on Gaurav Path|High-footfall retail hub|78|A|Admin / Mall IT Manager|Existence-verified (contact pending)|Houses Gujarat's only Apple Store; PVR multiplex
Central Mall (Iris Mall) Surat|Hospitality & Real Estate|Shopping mall / Multiplex|Dumas Road|Iris Mall, Gaurav Path Road, Dumas Road, Surat|https://www.centralandme.com/|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Large mall with PVR multiplex + events|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Events + entertainment mall|High footfall|74|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Hosts events; PVR multiplex on premises
Marvella Mall|Hospitality & Real Estate|Shopping mall|Pal-Adajan|Pal-Adajan, Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|River-facing AC mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|First AC mall in Pal-Adajan|Growing Pal-Adajan retail belt|68|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Only river-facing mall in Surat
DR World Shopping Mall|Hospitality & Real Estate|Shopping mall / Multiplex|Surat|Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Large mall with INOX multiplex|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Mall with INOX multiplex|Entertainment + retail|68|B|Admin / Mall IT Manager|Existence-verified (contact pending)|National + international brands, INOX
Reliance Mega Mall|Hospitality & Real Estate|Shopping mall|Ring Road|Ring Road, Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Large mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Established Ring Road mall|High footfall retail|66|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Listed Surat mall on Ring Road
Imperial Square Mall|Hospitality & Real Estate|Shopping mall|Surat|Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Established mall|Retail footfall|62|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Listed among Surat malls
Veneziano Mall|Hospitality & Real Estate|Shopping mall|Vesu|Vesu, Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Mall in upscale Vesu|Vesu growth corridor|62|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Located in upscale Vesu
Iscon Mall Surat|Hospitality & Real Estate|Shopping mall|Surat|Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Established mall|Retail footfall|62|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Listed among Surat malls
Regent Arcade Mall|Hospitality & Real Estate|Shopping mall|Surat (market area)|Surat|https://www.holidify.com/pages/malls-in-surat-1878.html|||https://www.holidify.com/pages/malls-in-surat-1878.html|Travel guide|Market-area mall|Mall management PCs; visitor Wi-Fi + networking; CCTV/access control; AMC|Mall within market place|Dense commercial footfall|60|B|Admin / Mall IT Manager|Existence-verified (contact pending)|Only mall in centre of a market place
Sangini Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.sanginigroup.com/|||https://www.sanginigroup.com/|Builder official site|Major developer; 71 projects, 10M sq ft|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active residential + commercial pipeline (Skyteria, Lakeville)|71 completed projects; ongoing high-rises|84|A|Director / Purchase|Existence-verified (contact pending)|One of Surat's largest developers; multiple active sites = recurring CCTV/IT
Rajhans (Desai-Jain) Group / Rajhans Realty|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://rajhansrealty.com/|||https://rajhansrealty.com/blog/2025s-best-builders-in-surat-whos-leading-the-real-estate-game/|Builder official site|Very large; 30M+ sq ft developed|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Premium housing to industrial zones (Synfonia, Apple)|30M+ sq ft; diversified pipeline|85|A|Director / Purchase|Existence-verified (contact pending)|Also operates malls/multiplexes; large multi-site IT/CCTV footprint
Raghuvir Developers & Builders|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.raghuvirdevelopers.com/|||https://www.raghuvirdevelopers.com/|Builder official site|Large; 30+ projects since 1986|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active projects (Spelito, Steffon)|30+ projects; long-standing builder|80|A|Director / Purchase|Existence-verified (contact pending)|Est. 1986; multiple ongoing sites
Happy Home Group|Hospitality & Real Estate|Real estate developer / Builder|Vesu / Palanpur|Surat|https://www.happyhomegroup.in/|||https://www.bankbazaar.com/home-loan/builders-in-surat.html|Finance directory|Large; 52+ projects since 2003|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|52+ projects, concentrated in Vesu/Palanpur|Continuous project delivery|80|A|Director / Purchase|Existence-verified (contact pending)|52+ projects; active in premium Vesu corridor
Pramukh Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.pramukhgroup.com/|||https://www.bankbazaar.com/home-loan/builders-in-surat.html|Finance directory|Established; residential + commercial since 1992|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Residential + commercial ventures|Consistent presence since 1992|76|A|Director / Purchase|Existence-verified (contact pending)|Apartments, villas and commercial spaces
Roongta Developers|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://roongtadevelopers.com/|||https://roongtadevelopers.com/|Builder official site|Mid-large; residential/commercial/industrial since 2011|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active projects (Estella, Signature)|Eco-conscious projects; growing|74|B|Director / Purchase|Existence-verified (contact pending)|Est. 2011; multi-sector portfolio
Manidhara Realty|Hospitality & Real Estate|Real estate developer / Builder|Varachha / Adajan|Surat|https://www.manidhara.com/|||https://www.manidhara.com/|Builder official site|Mid-large since 2009|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Projects in Varachha and Adajan|Growth in upscale corridors|72|B|Director / Purchase|Existence-verified (contact pending)|Est. 2009; international-standard designs
Sai Ram Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.thesairamgroup.com/about-us|+91-8141-998822||https://www.thesairamgroup.com/about-us|Builder official site|Affordable-housing focused developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Affordable homes pipeline|Volume residential delivery|70|B|Director / Purchase|Contact found|Phone listed on official site; affordable-housing builder
Divine Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.realestateindia.com/builders-developers-in-surat.htm|||https://www.realestateindia.com/builders-developers-in-surat.htm|Real estate directory|Established; 20+ projects, 30+ yrs|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|20+ developed projects|Long-standing builder|72|B|Director / Purchase|Existence-verified (contact pending)|30+ years experience; world-class infrastructure claims
White Wings Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.realestateindia.com/builders-developers-in-surat.htm|||https://www.realestateindia.com/builders-developers-in-surat.htm|Real estate directory|Established (decade+)|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Prestigious projects pipeline|Decade+ track record|70|B|Director / Purchase|Existence-verified (contact pending)|Known for innovative designs and modern amenities
Marvella Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://marvellagroupsurat.com/|||https://marvellagroupsurat.com/|Builder official site|Mid-large; commercial + residential|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Projects incl. Eco Grandeur, Prestige Oliva Heights|Commercial + residential pipeline|72|B|Director / Purchase|Existence-verified (contact pending)|Commercial buildings, textile shops, blocks, godowns
Shivalik Group|Hospitality & Real Estate|Real estate developer / Builder|Althan|Surat|https://www.shivalikgroup.com/|||https://builders.99acres.com/shivalik-group-surat-builders-developers-bid-87829|Real estate portal|Residential + commercial developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Projects incl. Shivalik Crown, Althan|Active in Althan growth zone|72|B|Director / Purchase|Existence-verified (contact pending)|Shivalik Crown residential project in Althan
Vraj Group|Hospitality & Real Estate|Real estate developer / Builder|Mota Varachha|Mota Varachha, Surat|https://housivity.com/company-profile/vraj-group-in-mota-varachha-surat-sid-66e41db72764bf12770e6e28|||https://housivity.com/company-profile/vraj-group-in-mota-varachha-surat-sid-66e41db72764bf12770e6e28|Real estate portal|Residential + commercial developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Quality residential + commercial projects|Active in Mota Varachha|68|B|Director / Purchase|Existence-verified (contact pending)|Reputed Surat developer in Mota Varachha
Sairam Builders|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://sairambuilders.co/|||https://sairambuilders.co/|Builder official site|Residential builder|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active residential projects|Ongoing delivery|66|B|Director / Purchase|Existence-verified (contact pending)|Distinct from Sai Ram Group; own site
Sri Sairam Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://srisairamgroup.com/about-us/|||https://srisairamgroup.com/about-us/|Builder official site|Residential + commercial developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active project pipeline|Growing developer|64|B|Director / Purchase|Existence-verified (contact pending)|Distinct Surat developer; own site
Sahjanand Group / Sahajanand|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.99acres.com/builders-in-surat-bffid|||https://www.99acres.com/builders-in-surat-bffid|Real estate portal|Established developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Residential + commercial projects|Active pipeline|66|B|Director / Purchase|Existence-verified (contact pending)|Listed Surat builder on 99acres
Synthesis Group|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.99acres.com/builders-in-surat-bffid|||https://www.99acres.com/builders-in-surat-bffid|Real estate portal|Developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active project pipeline|Growing developer|62|B|Director / Purchase|Existence-verified (contact pending)|Listed Surat builder on 99acres
Tirupati Developers|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.justdial.com/Surat/Builders-Developers/nct-10059258|||https://www.justdial.com/Surat/Builders-Developers/nct-10059258|JustDial listing|Developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active residential projects|Ongoing delivery|60|B|Director / Purchase|Existence-verified (contact pending)|Listed Surat builder on JustDial
Bhagwati Group / Shree Bhagwati|Hospitality & Real Estate|Real estate developer / Builder|Surat|Surat|https://www.justdial.com/Surat/Builders-Developers/nct-10059258|||https://www.justdial.com/Surat/Builders-Developers/nct-10059258|JustDial listing|Developer|Site CCTV; sales-gallery & office PCs; networking; server/NAS; AMC|Active project pipeline|Growing developer|60|B|Director / Purchase|Existence-verified (contact pending)|Listed Surat builder on JustDial
Sayaji Hotels (Surat presence)|Hospitality & Real Estate|Hotel chain|Surat|Surat|https://sayajihotels.com/|||https://sayajihotels.com/|Hotel chain site|Premium hotel/resort + banquet brand|PMS server; front-desk/back-office PCs; guest Wi-Fi + networking; CCTV; banquet AV; AMC|Premium brand with event venues|Chain expansion in Gujarat|68|B|GM / IT Manager|Existence-verified (contact pending)|Premium Indian hotel brand; verify specific Surat property
Modi Resort & Amusement Park|Hospitality & Real Estate|Resort / Amusement park|Near Surat|Near Surat|https://www.holidify.com/hotel-collections/resorts-near-surat|||https://www.holidify.com/hotel-collections/resorts-near-surat|Travel guide|Resort + amusement park|Ticketing/reception PCs; Wi-Fi + networking; CCTV across park; AMC|Resort with amusement attractions|High-footfall leisure venue|66|B|Owner / Admin|Existence-verified (contact pending)|Amusement park adds extensive CCTV/ticketing IT needs
Dhartii River View Resort|Hospitality & Real Estate|Resort|Near Surat|Near Surat|https://www.holidify.com/hotel-collections/resorts-near-surat|||https://www.holidify.com/hotel-collections/resorts-near-surat|Travel guide|River-view resort|Front-desk PCs; guest Wi-Fi + networking; CCTV; AMC|Leisure/weekend resort|Weekend-getaway demand|60|B|Owner / Admin|Existence-verified (contact pending)|Listed weekend resort near Surat
Sandy Resort|Hospitality & Real Estate|Resort|Near Surat|Near Surat|https://www.holidify.com/hotel-collections/resorts-near-surat|||https://www.holidify.com/hotel-collections/resorts-near-surat|Travel guide|Leisure resort|Front-desk PCs; guest Wi-Fi + networking; CCTV; AMC|Leisure/weekend resort|Weekend-getaway demand|58|C|Owner / Admin|Existence-verified (contact pending)|Listed weekend resort near Surat
